quarter,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2025-04-01,Beeswax UR Improvement Tier 1 (High UR),8328.38,,,,0
2026-01-01,Ad Theorent - Desktop/MW - 1st Price,8103.11,,,,0
2026-01-01,Viant - Desktop,7942.79,,,,0
2025-04-01,Sharethrough CTV Video - Shamrock Farms Bundle Optimized,7829.71,,,,0
2025-04-01,Seedtag - Open Auction - CTV,7643.11,,,,0
2026-04-01,PlayWire RON,7540.76,,0.19,,0
2026-01-01,TrueX Vizio AVOD,7535.28,,,,0
2025-10-01,TTD - MW - 1st Price (HB),7511.36,,,,0
2026-01-01,LoopMe DSP Lottery Campaign copy (deal mimic),7500.86,,,,0
2026-04-01,Ad Theorent - Desktop/MW - 1st Price,7491.39,,2197.06,,0
2025-01-01,Viant - APP [Display],7465.78,,,,0
2025-10-01,SundaySky - Desktop - 1st Price,7357.27,,,,0
2026-01-01,GroundTruth Video CTV,7357.19,,,,0
2026-04-01,Yahoo - CTV - Open Auction- Efficiency Monitoring,7352.26,,369.34,,0
2026-01-01,TTD - CTV - oRTB (Canada),7334.66,,,,0
2025-01-01,Conversant - Web - Open Auction - Display,7252.1,,,,0
2025-01-01,TTD - CTV (Charter),7190.17,,,,0
2025-01-01,SimpliFi - MW [Display],7166.54,,,,0
2025-01-01,Storygize - MW (1st Price),7163.85,,,,0
2025-10-01,SimpliFi - APP - 1st Price,7104.33,,,,0
2025-07-01,Ad Theorent - Desktop/MW Display,6989.05,,,1844.74,0
2025-10-01,Conversant - InApp - Open Auction,6984.72,,,,0
2025-10-01,Viant - CTV (Charter),6983.35,,,,0
2025-01-01,TTD - CTV (LG Ads Only),6941.88,,,,0
2025-10-01,DemandBase - CTV,6917.4,,,,0
2025-10-01,SundaySky - MW - 1st Price,6839.96,,,,0
2026-01-01,Conversant - CTV - Open Auction,6796.22,,,,0
2025-04-01,SmartyAds - CTV (Paramount),6776.84,,,,0
